year,gini_all_population,p90_p10_all_population,s80_s20_all_population,gini_excl_student_households,p90_p10_excl_student_households,s80_s20_excl_student_households
2001,0.229,2.6,3.2,0.223,2.5,3.1
2002,0.264,2.7,3.8,0.258,2.6,3.6
2003,0.274,2.8,3.9,0.267,2.7,3.7
2004,0.283,2.7,4.1,0.276,2.6,3.8
2005,0.327,2.8,4.8,0.319,2.7,4.5
2006,0.243,2.8,3.5,0.235,2.6,3.3
2007,0.252,2.8,3.7,0.244,2.7,3.5
2008,0.248,2.8,3.6,0.24,2.7,3.4
2009,0.241,2.8,3.5,0.231,2.6,3.3
2010,0.245,2.8,3.6,0.236,2.6,3.3
2011,0.247,2.8,3.6,0.237,2.7,3.4
2012,0.249,2.9,3.7,0.239,2.7,3.4
2013,0.25,2.9,3.7,0.241,2.7,3.4
2014,0.256,2.9,3.8,0.247,2.8,3.5
2015,0.271,3.0,4.0,0.263,2.8,3.8
2016,0.261,3.0,3.9,0.252,2.8,3.6
2017,0.261,3.0,3.9,0.252,2.8,3.6
2018,0.26,3.0,3.9,0.251,2.8,3.6
2019,0.259,3.0,3.9,0.25,2.8,3.6
2020,0.262,3.0,3.9,0.252,2.8,3.6
2021,0.289,3.0,4.3,0.279,2.8,4.0
2022,0.261,2.9,3.9,0.253,2.8,3.6
2023,0.256,2.9,3.8,0.248,2.8,3.6
2024,0.256,2.9,3.9,0.248,2.8,3.6
