income_type,group_name,measure,year_2023_estimate,year_2023_moe,year_2024_estimate,year_2024_moe,pct_change_estimate,pct_change_moe
MONEY INCOME,Share of Aggregate Income by Percentile,Lowest quintile,3.1,0.06,3.1,0.06,-1.0,2.45
MONEY INCOME,Share of Aggregate Income by Percentile,Second quintile,8.3,0.09,8.2,0.09,-1.8,1.4
MONEY INCOME,Share of Aggregate Income by Percentile,Third quintile,14.1,0.12,13.9,0.12,-1.1,1.16
MONEY INCOME,Share of Aggregate Income by Percentile,Fourth quintile,22.6,0.15,22.6,0.18,,0.98
MONEY INCOME,Share of Aggregate Income by Percentile,Highest quintile,51.9,0.33,52.2,0.37,0.6,0.92
MONEY INCOME,Share of Aggregate Income by Percentile,Top 5 percent,23.0,0.39,23.1,0.43,0.7,2.58
MONEY INCOME,Household Income at Selected Percentiles,10th percentile,19470.0,395.0,19900.0,441.0,2.2,2.87
MONEY INCOME,Household Income at Selected Percentiles,50th percentile (median),82690.0,651.0,83730.0,1050.0,1.3,1.41
MONEY INCOME,Household Income at Selected Percentiles,90th percentile,241000.0,2539.0,251000.0,2731.0,4.2,1.42
MONEY INCOME,Summary Measures,Gini index of income inequality,0.485,0.0034,0.488,0.0037,0.8,1.0
MONEY INCOME,Summary Measures,90th/10th percentile income ratio,12.38,0.257,12.61,0.304,1.9,3.17
MONEY INCOME,Summary Measures,90th/50th percentile income ratio,2.91,0.03,3.0,0.038,2.9,1.61
MONEY INCOME,Summary Measures,50th/10th percentile income ratio,4.25,0.079,4.21,0.089,-0.9,2.69
EQUIVALENCE-ADJUSTED INCOME,Share of Aggregate Income by Percentile,Lowest quintile,3.5,0.06,3.5,0.06,0.2,2.42
EQUIVALENCE-ADJUSTED INCOME,Share of Aggregate Income by Percentile,Second quintile,9.1,0.09,9.0,0.1,-0.8,1.42
EQUIVALENCE-ADJUSTED INCOME,Share of Aggregate Income by Percentile,Third quintile,14.6,0.12,14.6,0.12,-0.4,1.12
EQUIVALENCE-ADJUSTED INCOME,Share of Aggregate Income by Percentile,Fourth quintile,22.4,0.15,22.4,0.16,0.3,0.98
EQUIVALENCE-ADJUSTED INCOME,Share of Aggregate Income by Percentile,Highest quintile,50.4,0.33,50.5,0.36,0.1,0.98
EQUIVALENCE-ADJUSTED INCOME,Share of Aggregate Income by Percentile,Top 5 percent,22.4,0.39,22.3,0.43,-0.3,2.56
EQUIVALENCE-ADJUSTED INCOME,Household Income at Selected Percentiles,10th percentile,29290.0,506.0,30280.0,418.0,3.4,2.16
EQUIVALENCE-ADJUSTED INCOME,Household Income at Selected Percentiles,50th percentile (median),109700.0,1250.0,112700.0,1121.0,2.8,1.47
EQUIVALENCE-ADJUSTED INCOME,Household Income at Selected Percentiles,90th percentile,299400.0,3740.0,310800.0,4009.0,3.8,1.75
EQUIVALENCE-ADJUSTED INCOME,Summary Measures,Gini index of income inequality,0.465,0.0034,0.465,0.0037,0.1,1.09
EQUIVALENCE-ADJUSTED INCOME,Summary Measures,90th/10th percentile income ratio,10.22,0.206,10.26,0.185,0.4,2.6
EQUIVALENCE-ADJUSTED INCOME,Summary Measures,90th/50th percentile income ratio,2.73,0.036,2.76,0.036,1.0,1.82
EQUIVALENCE-ADJUSTED INCOME,Summary Measures,50th/10th percentile income ratio,3.74,0.068,3.72,0.054,-0.6,2.2
