Table with row headers in column A and column headers in rows 4 through 5;;;;;;
"Table A-3.
Income Distribution Measures Using Money Income and Equivalence-Adjusted Income:
2023 and 2024";;;;;;
(Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>);;;;;;
Measure;2023;;2024;;"Percent change
(2024 less 2023)*,2";
;Estimate;Margin of error1 (±);Estimate;Margin of error1 (±);Estimate;Margin of error1 (±)
MONEY INCOME;;;;;;
Share of Aggregate Income by Percentile;;;;;;
Lowest quintile;3,1;0,06;3,1;0,06;-1,0;2,45
Second quintile;8,3;0,09;8,2;0,09;*-1,8;1,40
Third quintile;14,1;0,12;13,9;0,12;-1,1;1,16
Fourth quintile;22,6;0,15;22,6;0,18;Z;0,98
Highest quintile;51,9;0,33;52,2;0,37;0,6;0,92
...Top 5 percent;23,0;0,39;23,1;0,43;0,7;2,58
Household Income at Selected Percentiles;;;;;;
10th percentile;19 470;395;19 900;441;2,2;2,87
50th percentile (median);82 690;651;83 730;1 050;1,3;1,41
90th percentile;241 000;2 539;251 000;2 731;*4,2;1,42
Summary Measures;;;;;;
Gini index of income inequality;0,485;0,0034;0,488;0,0037;0,8;1,00
90th/10th percentile income ratio;12,38;0,257;12,61;0,304;1,9;3,17
90th/50th percentile income ratio;2,91;0,030;3,00;0,038;*2,9;1,61
50th/10th percentile income ratio;4,25;0,079;4,21;0,089;-0,9;2,69
EQUIVALENCE-ADJUSTED INCOME;;;;;;
Share of Aggregate Income by Percentile;;;;;;
Lowest quintile;3,5;0,06;3,5;0,06;0,2;2,42
Second quintile;9,1;0,09;9,0;0,10;-0,8;1,42
Third quintile;14,6;0,12;14,6;0,12;-0,4;1,12
Fourth quintile;22,4;0,15;22,4;0,16;0,3;0,98
Highest quintile;50,4;0,33;50,5;0,36;0,1;0,98
...Top 5 percent;22,4;0,39;22,3;0,43;-0,3;2,56
Household Income at Selected Percentiles;;;;;;
10th percentile;29 290;506;30 280;418;*3,4;2,16
50th percentile (median);109 700;1 250;112 700;1 121;*2,8;1,47
90th percentile;299 400;3 740;310 800;4 009;*3,8;1,75
Summary Measures;;;;;;
Gini index of income inequality;0,465;0,0034;0,465;0,0037;0,1;1,09
90th/10th percentile income ratio;10,22;0,206;10,26;0,185;0,4;2,60
90th/50th percentile income ratio;2,73;0,036;2,76;0,036;1,0;1,82
50th/10th percentile income ratio;3,74;0,068;3,72;0,054;-0,6;2,20
*An asterisk preceding an estimate indicates change is statistically different from zero at the 90 percent confidence level.;;;;;;
Z Rounds to zero.;;;;;;
1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. MOEs shown in this table are based on standard errors calculated using replicate weights.;;;;;;
2 Calculated estimate may be different due to rounded components.;;;;;;
Note: Median income estimates are calculated using linear interpolation and $2,500 intervals.;;;;;;
"Source: U.S. Census Bureau, Current Population Survey, 2024 and 2025 Annual Social and Economic Supplements (CPS ASEC; DMS number P-7534374, DRB approval number CBDRB-FY25-0384).";;;;;;
